,1,2,3
0,109,3025,2752
1,3025,109,2752
2,827,3475,3472
3,3483,1797,3253
4,1797,3486,109
5,1797,3483,827
6,109,1797,827
7,3472,3025,827
8,1797,3483,109
9,3025,2752,2315
10,3025,3472,2752
11,1797,109,3486
12,3025,2315,2752
13,827,3475,3472
14,109,2752,1797
15,827,3475,1400
16,827,3475,1400
17,1797,109,2752
18,1797,3486,109
19,3483,1797,3253
20,1797,3483,827
21,827,3475,109
22,1797,3483,3168
23,3025,2752,2315
24,2752,1797,109
25,3483,3253,827
26,3472,827,3475
27,3025,3472,2752
28,827,3472,3475
29,3025,2752,2315
30,827,3475,3472
31,827,3475,3253
32,3483,3253,1797
33,827,3475,3253
34,827,3475,109
35,3025,109,2752
36,1797,109,2752
37,827,3475,3253
38,3472,827,3475
39,827,3483,3475
40,827,3475,3472
41,3025,2752,109
42,3475,827,1435
43,3025,2752,2315
44,3025,3472,2752
45,3483,1797,827
46,1797,3483,109
47,3483,827,3253
48,3025,109,3472
49,3025,109,827
50,3025,2752,2315
51,1797,109,2752
52,827,3475,3253
53,3472,3025,2752
54,3472,3025,523
55,3025,2752,2315
56,109,1797,827
57,109,1797,827
58,3025,109,2752
59,827,3475,3472
60,827,3475,1400
61,827,3472,3025
62,2752,3025,181
63,3483,1797,827
64,3483,1797,3253
65,1797,2752,109
66,827,3475,3483
67,3483,1797,827
68,827,3475,3483
69,827,3475,3472
70,1797,109,3486
71,3483,3253,3168
72,3483,1797,3253
73,827,3475,3472
74,1797,109,3486
75,3025,2752,2315
76,3483,827,3253
77,1797,109,2752
78,3483,3253,827
79,827,3475,3253
80,1797,109,3486
81,827,3475,3253
82,3025,2752,109
83,3483,1797,3253
84,3483,3253,827
85,3025,3472,2752
86,827,3475,1400
87,1797,3483,109
88,3483,1797,3168
89,3025,2752,2315
90,827,3472,3475
91,3483,1797,3253
92,3472,3025,1435
93,827,3475,3483
94,827,1797,3475
95,1797,109,2752
96,3483,1797,3253
97,827,3475,109
98,3483,827,3253
99,827,3483,3475
100,827,3483,3475
101,3483,1797,3168
102,1797,109,3486
103,1797,109,827
104,1797,3483,3484
105,1797,109,2752
106,3483,3253,827
107,3475,827,1435
108,3025,2752,109
109,3483,3253,827
110,1797,109,2752
111,827,109,3025
112,1797,3483,827
113,827,3475,109
114,109,827,1797
115,3025,109,827
116,3483,3253,1797
117,3483,1797,827
118,1435,3472,3475
119,3475,827,1435
120,3472,3025,2752
121,3025,3472,2752
122,3025,2752,109
123,827,3475,1400
124,1797,109,2752
125,827,3475,1435
126,3483,3253,827
127,827,3475,1435
128,1797,3483,3486
