,1,2,3
c5c137ff-9707-5fec-8982-b232f99d9119,3476,2339,1655
96260f34-2fb3-567d-b3cc-eabb230b449d,2339,181,1655
74d9a79a-7d56-5151-9445-cec114f2f9a8,3478,828,181
cc57c845-c09b-599f-b625-6a95025ebc92,3475,3473,3055
89eea5f4-07ff-5a11-b546-5e66a1bfd3d3,3553,3473,3478
da164c8d-5d09-5fe9-aa78-4d2ef06f6d99,828,3607,1655
7b0cc2c1-2579-55a4-a420-ebbf6c766898,3607,3478,828
ad5eeaca-6c68-53f9-9b9b-41985012d6a3,3474,3478,474
47a178ed-e121-5bcd-9fbd-613e6d279616,3478,3474,3254
8cc03d5f-8d88-5b0f-9c1a-4fc1c84bc7dd,3611,3475,3602
69d387eb-efa1-5a7e-ae34-004eb02e30bd,3478,3475,3510
08effa4e-631c-5e5e-a76b-3ee783a2db02,3510,181,3475
56bfb094-1974-52a4-8287-5a83068b543e,3478,3025,1016
7cd3dd08-a9d1-507c-9f3a-2b50a63fb891,3607,3602,828
f870a9ae-eed9-5fc5-8e84-f55047a90007,3478,523,3475
5ecd21f4-ede0-54a1-a14f-810795509c36,3607,3611,3473
3ca84bb2-6a3c-5e05-9769-bf8e86e9b92e,523,828,3473
12592416-3700-5584-89da-a6cd2ac7cf8d,3611,2393,1797
3facbb04-5311-5592-9080-50837631062f,3473,3025,828
e90e8749-0e1e-5f38-99a0-f4cc66c634ba,2393,3602,181
bcf7c4ab-c3e8-5373-9d09-9c9c19c1a590,3478,828,3475
0a981554-cddc-5eb6-aeac-b4b32bee2c1f,474,2794,181
da93acce-e131-5f87-9e32-8f510f75599c,3472,3478,3253
414f3b13-5a80-59e2-b680-2e61769cb289,3611,3475,1435
7cfce522-68e4-538d-8ab5-fd81a990cd81,1655,1016,2393
4bbf0a03-0232-54b3-90dc-f9a511a0ac36,3553,3475,3611
39e4a1f4-a80e-5242-ac11-2163c26d28ec,3473,3478,2794
e1092c06-85de-5928-af71-5e8284134bde,3474,828,2393
ad3f4267-1da9-582e-a943-82123b476cb1,2339,3475,1655
5f14013f-0b33-58b4-827b-17eb547bdd58,828,181,523
