,1,2,3
96260f34-2fb3-567d-b3cc-eabb230b449d,3254,2870,98
89eea5f4-07ff-5a11-b546-5e66a1bfd3d3,2870,3254,890
da164c8d-5d09-5fe9-aa78-4d2ef06f6d99,3254,890,2870
7b0cc2c1-2579-55a4-a420-ebbf6c766898,3254,2870,847
ad5eeaca-6c68-53f9-9b9b-41985012d6a3,3254,2870,98
8cc03d5f-8d88-5b0f-9c1a-4fc1c84bc7dd,3254,2870,827
3ca84bb2-6a3c-5e05-9769-bf8e86e9b92e,2870,3254,98
3facbb04-5311-5592-9080-50837631062f,3254,2870,94
4bbf0a03-0232-54b3-90dc-f9a511a0ac36,3254,2870,98
39e4a1f4-a80e-5242-ac11-2163c26d28ec,3254,2870,98
ad3f4267-1da9-582e-a943-82123b476cb1,3254,2870,94
5b125908-1bc7-5004-9881-070bfbd05bbb,3254,2870,890
6ab80879-f863-567d-a757-f0916ddf16e3,3254,2870,98
7df10706-4bc6-5409-a8d7-8321d524d2b2,3254,2870,98
31becb61-9ff4-5141-84a5-b73849875962,3254,2870,94
79e0db41-47d2-5d02-98ce-518ba28ebcba,3254,2870,94
6af96683-f50d-5497-872b-02d9bb61ac70,3254,2870,98
69582e54-48e6-5620-9da1-3cf98f84d7d0,3254,2870,98
99c13a0c-4126-5578-8944-2518e76ed017,3254,2870,98
900e510b-07a6-5f4b-8bac-597f1248103a,3254,2870,98
04db10be-10ce-5739-83cc-e128b89a2bf8,3254,2870,98
d9be7700-ab09-5264-891f-f4e983b3ef4f,3254,2870,94
3956566c-7dad-5587-a0db-386f4bdc3d4d,3254,2870,98
6e863d6d-3d99-5c39-8ba4-fef233ed2d89,3254,2870,94
c59bc211-eaf7-591c-b19b-bb17567296ec,3254,2870,94
2467296e-cd50-5b76-877b-772b5a9d2250,3254,2870,153
c80d86e6-30d4-5e75-89e6-f57f58c48408,3254,2870,98
746af201-08c7-56de-b737-f48fc2054398,3254,2870,98
86126fe6-ebbb-55e3-8a6f-37c3fe1809a2,3254,2870,98
ad4b6b11-8f86-51d3-bf8c-67ff5564d82e,3254,2870,98
2a9ac046-eccf-57f3-899e-812894d70ca2,3254,2870,890
2cef8274-78b4-5edf-b421-47ad8cadd6f0,3254,2870,98
e5b34881-127a-5f81-887a-c71ffaee9684,3254,2870,98
ac35ead0-6e60-504d-85a6-3539dc46331d,3254,2870,94
ae7322ec-387f-5597-b070-bdffb7d87fb3,3254,2870,94
bf2d81dc-d224-5233-aff5-258e1b887a54,3254,2870,98
e755a897-89c4-5d41-9345-5b17d0a3f6a1,3254,2870,94
798549ef-bae8-54fe-b0b0-fc5330fb4f0d,3254,2870,98
487f79c8-ce74-56fe-81c0-0c2dc01827e5,3254,2870,98
15711599-2435-5939-91e3-47799a7ebf76,3254,2870,98
b6f11525-3d3f-5c82-be97-1daff3c819d2,3254,2870,827
c8d8d2d3-1eef-5f22-ba65-a04e08175de6,3254,2870,159
c541b1ba-c9e6-5ed1-b4ad-0856b2671c5b,3254,2870,98
ba9c3235-6789-5e6c-8f00-d92c89813e09,3254,2870,98
615ad241-72f9-5b2e-837f-7e2beeba6e0f,3254,2870,98
7f6651ba-b023-5178-9802-9ecb441a6617,3254,2870,98
44a03cf0-fa31-511c-9ed7-391593147c0d,3254,2870,98
65536e61-6698-5323-9ec8-e6a7c868c274,3254,2870,94
849a74b3-b474-5581-8e75-679939aa8034,3254,2870,98
7370e00f-9f14-550d-bb05-86d2acd3ff34,3254,2870,98
b3ea30ab-162f-554b-83b9-5e543f02526c,3254,2870,98
0534afe2-13bc-5e53-badb-d99c8bf15d46,3254,2870,94
3ecb1c34-3a59-5b5a-8fb9-93a292028e4d,3254,2870,94
0b98ab57-b57d-5497-889b-95e211419d34,3254,2870,98
e09d8c2f-8e95-523c-8086-28b98d7f1f36,3254,827,2870
86c9b909-6463-5d9b-8e87-bca808e552e8,3254,2870,98
8636c350-9b21-5ef0-9312-3daf74193359,3254,2870,94
c0b5cb4a-ea4b-5371-abd5-502a82e9034e,3254,2870,98
aa2a8a7b-01ea-5b5e-af3e-83dacd5d26cd,3254,2870,98
eb320063-0ecd-5d29-966f-6adec3953c6a,3254,2870,98
e1d6571d-a8d7-5bc9-9c34-323522b82aea,3254,2870,98
0f82cc61-dbe4-52e8-bf2c-299d642dd0ac,3254,2870,153
ca258317-ab12-5632-a42a-e9dd03fc1035,3254,2870,98
9b395f6f-2466-58a9-a258-9a556b8fc20b,3254,2870,98
6881ea8b-243e-5ff3-8cbc-80a143afee1c,3254,2870,98
e9f614c5-54c3-50fc-9dcd-b18bdd432884,3254,2870,94
3fc35341-75c3-51f3-97e4-4d9c8263e9e9,2870,3254,98
e627f29f-e094-5fb5-b401-31ac69c5644b,3254,2870,827
73689c52-ce85-5267-ae42-6a4a06bcb1f2,3254,2870,98
1a9ac3d6-ae5c-5522-9bbb-d11f677c9081,3254,2870,98
7b84e6f7-7e3d-56b1-b9e0-81186ef1bf0f,3254,2870,98
35281fdb-9e38-59ab-b981-27afc7c95c99,3254,2870,98
f462f6f3-4eb6-57d6-a2fb-a748f81c06a3,3254,2870,1811
b985a49f-d620-5d87-8c4b-ade34f52d15b,3254,2870,98
c8fa228c-f5d8-5a2f-9df8-1c8d9ac62240,3254,2870,98
c99badf8-3331-5909-96e7-f3e19ff9a86f,3254,2870,98
12668246-6ff0-57de-a84b-cabba200ba6d,3254,2870,98
dd535fc3-b6af-58c3-b5a0-b20f464670a7,3254,2870,98
e38f70bb-3b2c-5e11-bbf5-a76a2d54e620,3254,2870,98
92484c87-a725-5152-86bc-f945e696ff52,3254,2870,98
bec0167e-c55f-5e8e-aedc-af3029f1c6c1,3254,2870,98
990237af-0136-58f3-ab42-1b5f8747651e,3254,2870,98
c8198109-1b58-5c8a-9cd8-750d3acc252b,3254,2870,827
be374897-ba20-5c53-8f43-9fab7922942d,3254,2870,167
f4d6e02b-5d66-54b6-8eae-30872f9d4c0a,3254,2870,153
de123905-eace-5767-b11d-0ee3cfc19d86,3254,2870,94
45d8e6d2-2e46-5703-89c3-0f0f1077ba03,3254,2870,98
a296aed7-76ab-59ba-a868-653b94384623,3254,2870,98
0c6dc465-ea9a-528c-aab8-6a25a23dc746,3254,2870,98
c9ab3d0a-8b06-519d-ba7d-42245e7f566c,3254,2870,98
4b0efe60-1ad0-52e1-9b53-34b76eeff978,3254,2870,98
c9cb5324-5b64-5ea4-8039-f5c79ada3784,3254,2870,98
60a3eced-7e4f-5c9a-bdf3-db218a133c0f,3254,2870,98
3c160c5c-2972-5e1f-933a-be7bbd756d52,3254,2870,98
fc3fd8f6-9a0f-5ec6-b384-db02a777adad,3254,2870,94
56d0e25c-7fb1-5a9d-bd33-9d7ad55ac6c8,3254,2870,98
1504df86-cbfb-540c-b586-be807be81ecc,3254,2870,94
4586cf67-6842-5721-8b5d-5274f530d9bb,3254,2870,98
90303e6e-06b6-5143-ab14-1d8ad10e1498,3254,2870,94
d40378a4-388d-59b8-8df3-4479e613fefa,3254,2870,94
aafe06b6-fb4f-5482-a260-722e568f33e2,3254,2870,94
5822a0a7-2207-5ecb-8864-3e4d585f8a72,3254,2870,153
6c61422b-3119-5ab5-908e-6898c54a13a1,2870,3254,1811
4d3b0499-ad4b-53e3-a95b-1ea4003cc65a,3254,2870,98
3556e08f-68cc-5405-837b-d65acde35138,3254,2870,98
1bc76e0c-4446-59ff-a170-4a0d284e0c39,2870,3254,159
4ac4469f-0073-52d6-be4e-58472ea03866,3254,2870,98
c5ad3189-04d6-5394-b637-f7201d18efba,3254,2870,98
3549d0b2-be1b-5f13-af79-fc7c57763132,3254,2870,98
d17db4de-9a22-5094-89d3-c695ee7bc96e,3254,2870,98
44ec051a-cb70-5ba0-afa1-6e290ff8329f,3254,2870,94
5f3c917f-ff38-59d7-86c1-65bb8e6e9830,3254,2870,94
b1f441d0-3ff3-51b6-9d5f-9304ba2d6a8d,3254,2870,98
c3d45249-51c7-5dec-b71d-3365888f5118,3254,890,167
af089a1e-4da9-5ce7-834e-66db3446fcf1,3254,2870,94
c30f2de7-b12a-5ce6-8095-94ebd1797490,3254,2870,94
26f94fd5-7f06-5d3c-a7f7-01726bfbfe41,3254,2870,98
743a8d83-55e6-5135-bf70-4de8cf1ae5f8,3254,2870,98
9327ad0f-6438-5362-be43-9a4d71115e1e,3254,2870,153
f32a9534-c94b-5ac2-87c0-87ba8ac465e8,3254,2870,94
a3f8bd0e-ff84-5657-bfbe-b925e9a34f70,3254,2870,98
2dcb7a37-3f96-5042-a3c6-b3938dd34910,3254,2870,98
0949e923-db1c-56b3-8f84-dd3815492cba,3254,2870,98
42f7c082-fd71-565c-b62f-2ba7660344e7,3254,2870,94
21f85cf3-4cc2-5f66-859d-e1a81decdc35,3254,2870,98
1f589d25-6796-575e-a4c0-3cf33ace550a,2870,3254,159
a7a55fb3-d6b5-5b47-b567-a838fc6793ed,3254,2870,159
94272085-e07a-52a5-bc73-10107ba09f42,3254,2870,98
ba7b2dc8-5d79-5212-8d09-b83bc7ed9f18,3254,2870,153
41599c99-8355-522f-a897-ee6ddc2f1507,3254,2870,98
a52118ea-744b-5e6b-bfd2-8c82a57f15ff,3254,2870,98
54ec875d-5b8e-5aaa-85bd-b3305248c805,3254,2870,98
2d5c8724-24f8-5207-93d6-5981ccd46d93,3254,2870,98
673e50e3-1458-5c83-b657-ed24c8e7e38d,3254,2870,98
d8f9c77b-a331-56f2-b2b4-49c5b8828db9,3254,2870,98
33527825-bffd-5b9a-9304-253c50be67a2,3254,2870,98
df67ccf2-b446-5775-bf4c-914ef1b99393,3254,2870,159
e4f031d3-fedd-5acd-bc7e-881c3af75311,3254,2870,98
adce3cb2-0f00-542c-929b-3780fa96601f,3254,2870,94
0189c36e-0596-5bca-b0f5-95943525c16f,3254,2870,153
5168f9fd-b523-5978-913e-fc3ed59c0e04,3254,2870,98
ca404a46-7089-5873-bc5c-ae365573d109,3254,2870,98
c8cb09e4-3bfb-5372-9d79-f74d00b9d42e,3254,2870,1811
8472877b-cb99-509b-a449-e7d48e59da4e,3254,2870,98
79284472-2594-500c-8ecc-22e5caf4d576,3254,2870,890
6788af8d-9507-5a0b-a45f-a00b7ff801b8,3254,2870,94
be7d6075-0ed5-56b1-9d0d-e086c92ab402,3254,2870,98
553c5011-dd0d-55f9-9984-f4eff59d28a2,3254,2870,98
623e55b9-4f7a-5df3-acd7-8f25682b2f52,3254,2870,98
54dfff7e-1563-56eb-95db-4caf5c952637,3254,2870,98
bf2e19b7-59d6-51f2-9e77-9961b3cf9cad,3254,2870,98
4c1d0a58-f0eb-599c-b1ce-ae0d533c1da9,3254,2870,98
383b82ce-7313-56a0-975d-224d501a4d82,3254,2870,153
4190df66-c104-5067-b989-279148fe0161,3254,2870,98
68fc90f8-1de9-57b1-a9fc-35b449e2224b,3254,2870,98
46b3d291-3197-5fc0-b69d-c36146363575,3254,2870,98
319ff579-128c-5699-acca-e46d39dc8a65,3254,2870,98
1bd12d0c-e4af-5116-91cd-34fec734d153,3254,2870,98
1254b941-0f81-5e01-b6b6-f822fac51418,3254,2870,167
7b8fe271-2022-5c11-9d40-009d4f76222b,3254,2870,153
c4c81f9d-0f41-59a3-80bd-819c59c7e11b,3254,2870,98
3db703dc-be4a-59d7-9a4f-3ad67e6693dc,3254,2870,98
12e528c7-78cd-50a1-9b14-b2fba5441a2b,3254,2870,98
24618b34-6e86-5454-a863-faba58d4d102,3254,98,2870
9caf20ec-4b0d-56b5-914d-96a0bad5f072,3254,2870,98
5172c429-f162-5447-b35c-4b0de6427071,3254,2870,827
16230c8f-8dde-56e3-9e52-fbc48f530185,3254,2870,98
6b2267ef-ab92-5460-a338-ef52a6ee67ef,3254,2870,98
68fa26e0-37e0-5cc2-bee1-ff923b39351b,3254,2870,98
ba7da009-130f-5942-a7e4-9b4203793227,3254,2870,153
88dfa64c-a4af-541c-a493-a15471e66266,3254,2870,1811
693daf66-9916-517f-b88c-679e25bc015e,3254,2870,98
66686c4b-1fc4-5324-9e7f-bb94a69570ef,3254,2870,94
66787636-bdad-51fb-ba99-6c4f14b6b461,3254,2870,153
f83c24ba-c613-5ca2-a629-49f1430509aa,3254,2870,98
af74aeb2-b443-515c-a82f-497981398c62,3254,2870,98
c59fad8d-3fc6-5174-a16b-892f72804870,3254,2870,98
90d4af07-901c-5f8b-badf-a87fb996ce21,3254,2870,98
eaf1adab-b564-53eb-ae79-3942f5484433,3254,2870,151
63ec18d1-9d1b-5f53-96b4-4b0ee8df1b41,3254,2870,153
