user_profile_id,algorithm
f78c32cd-0355-5406-b92a-f26b79e0d834,2
,
57a4b7ec-5c6d-52bd-8f71-7740ad973117,3
,
dc14b7c4-f2a3-5891-b5f5-2ea836230969,4
,
b40b319a-5e3a-5171-8524-91e481ea012b,0
,
3d6609a4-71ed-5b08-828e-eb38a17fedd6,1
,
d4d93072-d02b-5f8c-af60-4dfbb10af340,2
,
3b43aada-f187-5feb-8b8d-bd9ad8e79b71,3
,
7242b27f-a583-5c3b-811d-d972366f4129,4
,
977d64bf-7d24-55dd-beb3-3f4e4e05f89f,0
,
7c7f53c1-bfbb-5a11-9366-13a14e4dbd94,1
,
9180a0ec-ce6f-5515-852f-2a95f33a7aba,2
,
ab52ca8a-4f29-51e7-b2e0-c9a73d6007b5,3
,
c62519e2-ed66-5e99-84f5-dc399a629108,4
,
7407ccc6-8e55-5eff-83c2-277353a96f8e,0
,
0dd1ff43-7d66-5e73-8424-cb6c30121364,1
,
b0bdb280-8c05-531e-98d9-f7b5403a6612,2
,
281d3dc4-3c89-50e5-9123-2721a170479a,3
,
a55619a6-fb72-5aeb-9277-e4be03cb94af,4
,
b714b6e4-40bb-54d5-81a5-ea80c353e969,0
,
df67ccf2-b446-5775-bf4c-914ef1b99393,1
,
e5d678e1-c631-5ad7-9ec8-c5806fbd7ee3,2
,
54f69711-7c38-5f98-a5ec-bdd78ddb5827,3
,
f42d3b9e-6060-5250-bda8-6b444188bf7c,4
,
5da87f1b-942f-57e6-9730-6bc672e802d7,0
,
b0693903-6efa-5f24-92f4-93ffe55c1d57,1
,
facc04b3-c850-5559-913b-ba4b144a63ae,2
,
82c0dac5-cb89-5ad5-90c7-d22202a4ad65,3
,
926f9cea-6ac4-5256-bf23-429be4c37fb3,4
,
238f6589-d40e-5317-a1ea-1b78f4777690,0
,
56cce442-0c8e-58c4-a40f-15ee6c88bd1e,1
,
63f82742-5664-52ee-a48a-c8b0910d688d,2
,
20c75e7b-8f1d-5b0b-8640-d73adeb52b21,3
,
cbf7100e-9c18-5a20-aae9-290f407312e3,4
,
4f70227e-d346-57c1-9117-7931440c0aa6,0
,
c6107769-4a2f-5b6d-b48b-9fbc2d76f944,1
,
1bc76e0c-4446-59ff-a170-4a0d284e0c39,2
,
5cdb5d03-ba72-5af0-807f-8f9b86227514,3
,
cb651f88-bd84-5e5c-86df-26f486b00a44,4
,
2e02f401-9b10-5a8a-a5c5-1a567bf3e393,0
,
8af2b0da-6f55-5c6b-bc21-f69074a01f92,1
,
5e80abbd-8fd5-595e-8e78-f40e827acab4,2
,
c76502fe-a267-51b9-a709-4c3b1701e1aa,3
,
1e3d814e-2ede-5f89-a115-629de7cf8a04,4
,
b24f5dfc-152b-560f-9f73-af6cdb1931ee,0
,
496c81bf-a60d-5bfa-98f7-6958b75b2392,1
,
